agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.13829957722672276,0.271392784978447,32,0.9565674121791773,cpu,1654914.5248567609,test_legacy,0.3336051142950892,True,7,0.47729888686170274,AAPL,50000,aleatoric,-0.028202514963618693,0.05
ppo_with_uncertainty_guard,0.0024346675623435235,0.07437184901619191,32,0.9680010135659097,cpu,1009501.4997481164,test_legacy,0.13640822760677518,True,13,0.032696556598229794,AAPL,50000,aleatoric,-0.007525582065067038,0.05
ppo_with_uncertainty_guard,0.1381711360791821,0.2750885501912462,32,0.9565674121730684,cpu,1654188.4558131325,test_legacy,0.3336051205155708,True,19,0.47047626235198386,AAPL,50000,aleatoric,-0.028869291993490708,0.05
ppo_with_uncertainty_guard,-0.0017715234513195955,0.005459387962243493,32,0.9899962140479119,cpu,993128.3511744238,test_legacy,0.010003785952088062,True,23,-0.3247695366841571,AAPL,50000,aleatoric,0.0,0.02346938775510204
ppo_with_uncertainty_guard,-0.0013417771396862454,0.0051350304730108974,32,0.9916546981981952,cpu,994792.0824152586,test_legacy,0.008854990980401212,True,29,-0.26146614499498144,AAPL,50000,aleatoric,0.0,0.0163265306122449
ppo_with_uncertainty_guard,0.13902260268287658,0.24988910623396998,32,0.9568963604819853,cpu,1659006.156704959,test_legacy,0.32997615162144245,True,37,0.5209128475413582,AAPL,50000,aleatoric,-0.02504898504376447,0.05
ppo_with_uncertainty_guard,0.11202181212942834,0.20764696585423342,32,0.9640668404272446,cpu,1511226.3698749696,test_legacy,0.26807668972667353,True,42,0.5113473690772815,AAPL,50000,aleatoric,-0.02185008132141526,0.05
ppo_with_uncertainty_guard,0.03636173898125986,0.09094011199902918,32,0.982583884139485,cpu,1149005.21174178,test_legacy,0.1252857562116102,True,53,0.39274406707394965,AAPL,50000,aleatoric,-0.009756352732538697,0.05
ppo_with_uncertainty_guard,0.0880408434426517,0.1319458105072089,32,0.9659149488324643,cpu,1388382.4172567548,test_legacy,0.19546198969062922,True,67,0.6394942425010102,AAPL,50000,aleatoric,-0.01305991934409798,0.05
ppo_with_uncertainty_guard,0.0960949558480456,0.16918371429251722,32,0.9677145893750447,cpu,1428779.2723825988,test_legacy,0.25398367796425747,True,89,0.5423319709675817,AAPL,50000,aleatoric,-0.015690539062830487,0.05
ppo_with_uncertainty_guard,0.22041104219433535,0.41486444624920255,32,0.9560241204332108,cpu,2169765.111694699,test_legacy,0.4988190936816579,True,7,0.48012705695775665,AMAT,50000,aleatoric,-0.039741836755038215,0.05
ppo_with_uncertainty_guard,0.08673003804627523,0.14627213052694957,32,0.9788845394958752,cpu,1381889.0221725863,test_legacy,0.19519941264683427,True,13,0.5686191324724658,AMAT,50000,aleatoric,-0.01420757656285554,0.05
ppo_with_uncertainty_guard,0.21112263396624067,0.4214476391679136,32,0.9560241204318505,cpu,2106247.280306824,test_legacy,0.49881915567661794,True,19,0.4544992928809062,AMAT,50000,aleatoric,-0.04126795635214071,0.05
ppo_with_uncertainty_guard,0.04702139570201474,0.15882505348914258,32,0.9802837806090618,cpu,1195652.4055623617,test_legacy,0.2516568276091,True,23,0.2893077634130172,AMAT,50000,aleatoric,-0.015676294936676882,0.05
ppo_with_uncertainty_guard,0.007006337735193083,0.03185074674017376,32,0.9922755000599653,cpu,1027523.832838378,test_legacy,0.050273332411070015,True,29,0.21920593118741655,AMAT,50000,aleatoric,-0.00213824163680183,0.05
ppo_with_uncertainty_guard,0.21254611899067277,0.42134028430464937,32,0.9560241204318688,cpu,2115890.829579451,test_legacy,0.49881915380338493,True,37,0.45740299220305736,AMAT,50000,aleatoric,-0.041677536890061706,0.05
ppo_with_uncertainty_guard,0.0014293875069027072,0.04516657495263477,32,0.9867600823869124,cpu,1005570.2164719596,test_legacy,0.079896411386577,True,42,0.03162431258769255,AMAT,50000,aleatoric,-0.00210773625626377,0.05
ppo_with_uncertainty_guard,0.2119013887106312,0.37418308948482776,32,0.9582617958225523,cpu,2111518.9818884414,test_legacy,0.46074612208963595,True,53,0.5136267398292472,AMAT,50000,aleatoric,-0.03627597439586267,0.05
ppo_with_uncertainty_guard,0.09329436796319332,0.20697368263571836,32,0.9744949943040118,cpu,1414634.743103283,test_legacy,0.26678334304221585,True,67,0.4309505657321052,AMAT,50000,aleatoric,-0.020834674359474635,0.05
ppo_with_uncertainty_guard,0.2233936899609357,0.3714118508797294,32,0.9562845933146518,cpu,2190460.1810621615,test_legacy,0.4910374261986288,True,89,0.5428707333069422,AMAT,50000,aleatoric,-0.03322867569789976,0.05
ppo_with_uncertainty_guard,0.11234591021974952,0.31663821906185996,32,0.8197742640211287,cpu,1512939.9367158639,test_legacy,0.4963784643732201,False,7,0.3362549370514472,AMD,50000,aleatoric,-0.027461269028394936,0.05
ppo_with_uncertainty_guard,0.0027762956636927442,0.023473948093734945,32,0.9620878184145111,cpu,1010840.0780904661,test_legacy,0.04128066105266659,True,13,0.11810668206310548,AMD,50000,aleatoric,0.0,0.03469387755102041
ppo_with_uncertainty_guard,0.19099843806506941,0.523041963336558,32,0.815684983025687,cpu,1973377.5847967153,test_legacy,0.6300028387531498,False,19,0.3341833698371182,AMD,50000,aleatoric,-0.05292654392382907,0.05
ppo_with_uncertainty_guard,0.007561515853963898,0.027628827378986403,32,0.9791370847444182,cpu,1029728.603423974,test_legacy,0.04543346166092732,True,23,0.27265100718798646,AMD,50000,aleatoric,0.0,0.02857142857142857
ppo_with_uncertainty_guard,0.006958761966772624,0.024178102758114158,32,0.9777872556531357,cpu,1027335.0591727756,test_legacy,0.04128066105266659,True,29,0.286813901957633,AMD,50000,aleatoric,0.0,0.02346938775510204
ppo_with_uncertainty_guard,0.1870619257661014,0.5262270771702661,32,0.8156849830255847,cpu,1948133.3563432863,test_legacy,0.630002851121376,False,37,0.3258692681466945,AMD,50000,aleatoric,-0.05366507729433616,0.05
