date,portfolio_value,seed,agent,uncertainty
2022-02-01,1000000.0,7,ppo_with_uncertainty_guard,0.18526296
2022-02-02,1004723.7651838427,7,ppo_with_uncertainty_guard,0.18526296
2022-02-03,993641.9359553168,7,ppo_with_uncertainty_guard,0.109284334
2022-02-04,995978.6227382892,7,ppo_with_uncertainty_guard,0.20469129
2022-02-07,994209.887629957,7,ppo_with_uncertainty_guard,0.23059572
2022-02-08,998585.7704044555,7,ppo_with_uncertainty_guard,0.2685272
2022-02-09,1006906.1875888372,7,ppo_with_uncertainty_guard,0.25187436
2022-02-10,996020.4175394488,7,ppo_with_uncertainty_guard,0.18746021
2022-02-11,983644.3431094903,7,ppo_with_uncertainty_guard,0.2562689
2022-02-14,981520.6292170673,7,ppo_with_uncertainty_guard,0.37630817
2022-02-15,991461.0056992867,7,ppo_with_uncertainty_guard,0.43436188
2022-02-16,992120.9778575597,7,ppo_with_uncertainty_guard,0.37492043
2022-02-17,978781.2913107902,7,ppo_with_uncertainty_guard,0.34034264
2022-02-18,974761.7087331475,7,ppo_with_uncertainty_guard,0.41724643
2022-02-22,968157.271335087,7,ppo_with_uncertainty_guard,0.46292612
2022-02-23,957357.8293996099,7,ppo_with_uncertainty_guard,0.5157758
2022-02-24,966245.9852424723,7,ppo_with_uncertainty_guard,0.59557074
2022-02-25,979474.4727854764,7,ppo_with_uncertainty_guard,0.52884364
2022-02-28,977906.5112836189,7,ppo_with_uncertainty_guard,0.38116527
2022-03-01,968793.9453489608,7,ppo_with_uncertainty_guard,0.3224177
2022-03-02,979938.8606561553,7,ppo_with_uncertainty_guard,0.36000225
2022-03-03,976810.8976144088,7,ppo_with_uncertainty_guard,0.28390798
2022-03-04,971721.2782913034,7,ppo_with_uncertainty_guard,0.28043863
2022-03-07,953669.5804582038,7,ppo_with_uncertainty_guard,0.3149008
2022-03-08,948954.4979828119,7,ppo_with_uncertainty_guard,0.46373564
2022-03-09,965415.2064854947,7,ppo_with_uncertainty_guard,0.5412177
2022-03-10,962599.7949908254,7,ppo_with_uncertainty_guard,0.4321646
2022-03-11,954776.477416259,7,ppo_with_uncertainty_guard,0.39781812
2022-03-14,950435.0546510762,7,ppo_with_uncertainty_guard,0.42580414
2022-03-15,962967.5129953825,7,ppo_with_uncertainty_guard,0.454831
2022-03-16,975900.2611222136,7,ppo_with_uncertainty_guard,0.35225406
2022-03-17,983641.8354669393,7,ppo_with_uncertainty_guard,0.20827629
2022-03-18,990780.1317281348,7,ppo_with_uncertainty_guard,0.10084227
2022-03-21,990548.3597354408,7,ppo_with_uncertainty_guard,0.025210567
2022-03-22,998455.9861982302,7,ppo_with_uncertainty_guard,0.024054118
2022-03-23,989538.4529052614,7,ppo_with_uncertainty_guard,0.0
2022-03-24,1000087.0496772586,7,ppo_with_uncertainty_guard,0.08384248
2022-03-25,1003664.5036326726,7,ppo_with_uncertainty_guard,0.07459089
2022-03-28,1008824.4154806155,7,ppo_with_uncertainty_guard,0.07933233
2022-03-29,1017547.0218838046,7,ppo_with_uncertainty_guard,0.07378138
2022-03-30,1013205.184088591,7,ppo_with_uncertainty_guard,0.042094707
2022-03-31,1002167.5498837978,7,ppo_with_uncertainty_guard,0.087658755
2022-04-01,1004214.931784272,7,ppo_with_uncertainty_guard,0.19914034
2022-04-04,1010586.3064458866,7,ppo_with_uncertainty_guard,0.2447044
2022-04-05,1001241.1862654068,7,ppo_with_uncertainty_guard,0.23533717
2022-04-06,994084.1603336778,7,ppo_with_uncertainty_guard,0.2989418
2022-04-07,997685.200200401,7,ppo_with_uncertainty_guard,0.37052593
2022-04-08,995716.9409610173,7,ppo_with_uncertainty_guard,0.3712198
2022-04-11,983091.1241160808,7,ppo_with_uncertainty_guard,0.37862107
2022-04-12,980327.4975884465,7,ppo_with_uncertainty_guard,0.45089906
2022-04-13,988789.6774524751,7,ppo_with_uncertainty_guard,0.48085108
2022-04-14,979526.0854692962,7,ppo_with_uncertainty_guard,0.42430076
2022-04-18,979828.0769594423,7,ppo_with_uncertainty_guard,0.4458107
2022-04-19,991688.2490204119,7,ppo_with_uncertainty_guard,0.43389928
2022-04-20,991134.5258205468,7,ppo_with_uncertainty_guard,0.34277117
2022-04-21,980097.2309841805,7,ppo_with_uncertainty_guard,0.30507097
2022-04-22,959660.7385774183,7,ppo_with_uncertainty_guard,0.3536418
