agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,drawdown_floor,fast_window,final_portfolio_value,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,slow_window,ticker,var_95,var_95_violation_rate
stop_loss_5pct,0.01700754854733734,0.20089299615126963,0.9510593287711203,0.05,20,1069284.462558855,0.41508088838517565,True,-1,0.08394780506421584,50,AAPL,-0.02054786948963816,0.04995004995004995
stop_loss_10pct,-0.012232771502652342,0.20689742039847833,0.9522849839894427,0.1,20,952284.9839894427,0.40453422208870315,True,-1,-0.05948937503205252,50,AAPL,-0.02074832712112773,0.04995004995004995
stop_loss_5pct,-0.07492717494166,0.3073221798532665,0.6265078874102376,0.05,20,733910.7530706957,0.4836344971707174,False,-1,-0.25342386476411743,50,AMAT,-0.03214572234237956,0.04995004995004995
stop_loss_10pct,-0.053989478188771534,0.3299795367671465,0.5703754020004106,0.1,20,802146.0026322078,0.5643953964746715,False,-1,-0.1681969779502352,50,AMAT,-0.03372160200719776,0.04995004995004995
stop_loss_5pct,0.027488672758685016,0.3649633815683288,0.8159204270078774,0.05,20,1113732.854309913,0.49027332735992346,False,-1,0.07430233503615577,50,AMD,-0.03613657956256411,0.04995004995004995
stop_loss_10pct,0.017329456355973646,0.39483651322553803,0.7777717995320572,0.1,20,1070629.5125027925,0.5862449385810624,False,-1,0.04351423017446806,50,AMD,-0.04010096579089861,0.04995004995004995
stop_loss_5pct,-0.002496997664555576,0.2451694848412335,0.7898160046370941,0.05,20,990118.1162148452,0.3718545279435772,False,-1,-0.01019751191861288,50,AMZN,-0.024522008273239138,0.04995004995004995
stop_loss_10pct,0.002010452273861775,0.2694288267236529,0.797206256312644,0.1,20,1008009.8548551033,0.41101738559517675,False,-1,0.007454409613026025,50,AMZN,-0.02573328636379202,0.04995004995004995
stop_loss_5pct,0.30597792064693363,0.33241504632927815,0.8972353763242329,0.05,20,2887506.0228802813,0.4157735276943165,False,-1,0.8030683330564822,50,AVGO,-0.029918979364611076,0.04995004995004995
stop_loss_10pct,0.38964596308350646,0.3823026721720275,0.8972353763242328,0.1,20,3695278.0326080215,0.3438228133883059,False,-1,0.8607025249940002,50,AVGO,-0.03405640224210238,0.04995004995004995
stop_loss_5pct,0.12230844508612486,0.20121162655452202,0.970121399377558,0.05,20,1581455.2857398384,0.3182491365795399,True,-1,0.5734638040346418,50,AXP,-0.021896256942119052,0.04995004995004995
stop_loss_10pct,0.13290224831503852,0.22592121893399314,0.970121399377558,0.1,20,1641588.9088955356,0.34815749053918477,True,-1,0.5523279945591776,50,AXP,-0.02330214037767142,0.04995004995004995
stop_loss_5pct,0.014316264473036576,0.22656719983213167,0.7961944778818983,0.05,20,1058088.6958991906,0.31883668825440203,False,-1,0.06273963968428807,50,BA,-0.02334473925450098,0.04995004995004995
stop_loss_10pct,-0.06901873778345602,0.25024984688906265,0.6383845265625363,0.1,20,752707.9654015502,0.44767689769396124,False,-1,-0.28577872851282854,50,BA,-0.02551485393122377,0.04995004995004995
stop_loss_5pct,0.0015528847932491788,0.1886370663599092,0.8496053674442234,0.05,20,1006182.6532129606,0.330699309111101,False,-1,0.008225737595420753,50,BLK,-0.01971315416825803,0.04995004995004995
stop_loss_10pct,-0.01765078059998923,0.20058420959533263,0.9109920131134467,0.1,20,931705.0587447402,0.38411961478761525,False,-1,-0.08878265750589551,50,BLK,-0.021175424284349376,0.04995004995004995
stop_loss_5pct,0.04011590826854657,0.14506895774587045,0.8612938716220938,0.05,20,1169102.1591573984,0.2587637471834634,False,-1,0.27112701967709635,50,BRK-B,-0.014833307472416735,0.04995004995004995
stop_loss_10pct,0.08391986943078986,0.15927184249004778,0.8984586898221618,0.1,20,1377262.0029911245,0.26126528889892287,False,-1,0.505951946801232,50,BRK-B,-0.015778227959998503,0.04995004995004995
stop_loss_5pct,0.10486284784775643,0.21282155758228377,0.9642151824552081,0.05,20,1486039.9008895815,0.368041716497037,True,-1,0.4685668802616931,50,C,-0.02126125189165151,0.04995004995004995
stop_loss_10pct,0.1201910348210461,0.2472044866451833,0.9642151824552081,0.1,20,1569636.7037021157,0.37333515050706023,True,-1,0.45913068254629225,50,C,-0.022343959851443884,0.04995004995004995
stop_loss_5pct,0.20868968502303947,0.22324394359332164,0.9223763579850357,0.05,20,2123111.196940914,0.23475355347583327,False,-1,0.849011758512247,50,CAT,-0.02153044878110144,0.04995004995004995
stop_loss_10pct,0.14930207941774054,0.2323472545863738,0.9146646856754648,0.1,20,1738033.0967165702,0.3032592331772942,False,-1,0.5989086286193183,50,CAT,-0.023532153803206057,0.04995004995004995
stop_loss_5pct,0.1517684966431675,0.2595161102419187,0.9800547869140526,0.05,20,1752896.1739394134,0.3729567040058691,True,-1,0.5444690803220186,50,COPX,-0.02541744262822121,0.04995004995004995
stop_loss_10pct,0.09519028541995048,0.2799392491696993,0.9800547869140525,0.1,20,1435031.3820493214,0.49847768380643076,True,-1,0.3248135926541591,50,COPX,-0.02939354140544559,0.04995004995004995
stop_loss_5pct,0.016507947245194096,0.19793762740003656,0.7658225698992156,0.05,20,1067199.4479147273,0.3874845582533366,False,-1,0.08271878057615323,50,COST,-0.01781418639187038,0.04995004995004995
stop_loss_10pct,0.10692539560449509,0.19749498621087813,0.8273052440547499,0.1,20,1497089.9523958622,0.27904367551313514,False,-1,0.5143734453164273,50,COST,-0.018690318321388233,0.04995004995004995
stop_loss_5pct,0.05193888325304788,0.2437263350937483,0.8115001968349511,0.05,20,1222788.0510556572,0.3427877481630074,False,-1,0.207753437319429,50,CRM,-0.02360516188473838,0.04995004995004995
