date,baseline_value,prob_value,uncertainty_aleatoric,uncertainty_epistemic
2022-02-01,1000000.0,1000000.0,0.3255437,0.34208286
2022-02-02,1004321.2960270763,1005150.8558971027,0.3255437,0.34208286
2022-02-03,994879.0077105795,991713.3177601884,0.22863497,0.29667345
2022-02-04,996367.8418927041,994368.3061226017,0.25866506,0.579063
2022-02-07,995452.4305532551,992408.4312137123,0.2591003,0.40398762
2022-02-08,996946.6067553328,997547.4298086101,0.2810063,0.3827953
2022-02-09,998499.0173735016,1006893.0896561561,0.26794973,0.23797657
2022-02-10,997967.2448018735,994748.4250827737,0.21920522,0.5652806
2022-02-11,997943.0162297995,981510.5499254558,0.26069608,0.55765986
2022-02-14,997943.0162297995,979258.0605426799,0.34599897,0.58504045
2022-02-15,997943.0162297995,990409.8243855049,0.4043183,0.5463519
2022-02-16,997943.0162297995,991198.2931185744,0.3792207,0.5373264
2022-02-17,997943.0162297995,975756.1556705735,0.36224714,0.40344724
2022-02-18,997943.0162297995,971052.3493785743,0.4188256,0.5270304
2022-02-22,997943.0162297995,963335.0506820577,0.45886573,0.5068855
2022-02-23,997943.0162297995,950715.7929431811,0.51457375,0.4536723
2022-02-24,997943.0162297995,961231.8767752409,0.5908821,0.62419057
2022-02-25,997943.0162297995,976881.6293357543,0.5644788,0.4495845
2022-02-28,997943.0162297995,975026.9875061142,0.46626446,0.49059322
2022-03-01,997943.0162297995,964014.0002431829,0.4150537,0.49330398
2022-03-02,997943.0162297995,977113.4997453297,0.42549896,0.41856337
2022-03-03,997943.0162297995,973503.2753252604,0.3584027,0.37624976
2022-03-04,997943.0162297995,967493.3393954823,0.34338766,0.5767195
2022-03-07,997943.0162297995,945450.655830336,0.3522371,0.32683358
2022-03-08,997943.0162297995,939878.0702855864,0.4590108,0.4184901
2022-03-09,997943.0162297995,959404.0488376318,0.5303867,0.42333132
2022-03-10,997943.0162297995,956027.1485979215,0.47380823,0.49376336
2022-03-11,997943.0162297995,946561.7981464327,0.4560368,0.48915407
2022-03-14,997943.0162297995,941190.2621405203,0.46887577,0.0
2022-03-15,997943.0162297995,957234.5711338075,0.48730004,0.4095434
2022-03-16,997943.0162297995,973768.5394350806,0.4158516,0.2974413
2022-03-17,997943.0162297995,983303.9059036748,0.30450812,0.9121836
2022-03-18,997943.0162297995,991874.2273075968,0.19933023,0.40069097
2022-03-21,997943.0162297995,991621.8376296235,0.105685644,0.37720844
2022-03-22,997943.0162297995,1001249.120400484,0.06905472,0.4414356
2022-03-23,997943.0162297995,990295.0766223205,0.023284208,0.25417456
2022-03-24,997943.0162297995,1003107.3350005648,0.0632518,0.52363056
2022-03-25,997943.0162297995,1007356.0740118237,0.052081186,0.5467003
2022-03-28,997943.0162297995,1013662.972260643,0.055417866,0.6173665
2022-03-29,997943.0162297995,1024858.9908235255,0.047003634,0.29035872
2022-03-30,997943.0162297995,1019125.8567408365,0.017771436,0.46576142
2022-03-31,997943.0162297995,1004789.9852271228,0.04787407,0.43369168
2022-04-01,997943.0162297995,1007385.2240282682,0.12896985,0.7518637
2022-04-04,997943.0162297995,1015312.3307216858,0.1753932,0.6352555
2022-04-05,997943.0162297995,1003467.6033908728,0.18366235,0.3103937
2022-04-06,997943.0162297995,994171.593970129,0.24437538,0.37414372
2022-04-07,997943.0162297995,998830.2082634505,0.31712946,0.58524793
2022-04-08,997943.0162297995,996325.4986761211,0.33823758,0.8945287
2022-04-11,997943.0162297995,980311.3689444282,0.3601436,0.5120563
2022-04-12,997943.0162297995,976910.3756804473,0.42694968,0.396601
2022-04-13,997943.0162297995,987372.8439423384,0.4701814,0.33535534
2022-04-14,997943.0162297995,975868.2288835783,0.4496536,0.51414233
2022-04-18,997943.0162297995,976243.4823867657,0.47467867,0.5029165
2022-04-19,997943.0162297995,990978.1812002584,0.47163215,0.42707622
2022-04-20,997943.0162297995,990290.5189055944,0.4069296,0.33833683
2022-04-21,997943.0162297995,976431.0755315616,0.37225717,0.54060304
2022-04-22,997943.0162297995,951266.4712406141,0.3935829,0.32142648
2022-04-25,997943.0162297995,956454.0573089294,0.49513397,0.4034417
2022-04-26,997943.0162297995,930372.2274857637,0.51762027,0.5441904
2022-04-27,997943.0162297995,932831.2811964628,0.6254095,0.39941162
2022-04-28,997943.0162297995,954982.8274344963,0.64970917,0.38738573
2022-04-29,997943.0162297995,921755.2369579631,0.5612872,0.45527345
2022-05-02,997943.0162297995,926967.3734586617,0.62642497,0.33364654
2022-05-03,997943.0162297995,930960.6923235886,0.60974157,0.25068042
2022-05-04,997943.0162297995,957610.17856426,0.57499665,0.531744
2022-05-05,997943.0162297995,925559.3144237646,0.43471107,0.19095159
2022-05-06,997943.0162297995,920368.121903127,0.47583926,0.44882888
