agent,ticker,fold_id,metric,n,mean,std,median,q25,q75,min,max
all_cash,IWM,test_legacy,final_portfolio_value,2,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,IWM,test_legacy,annualized_return,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,IWM,test_legacy,annualized_volatility,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,IWM,test_legacy,sharpe_ratio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,IWM,test_legacy,max_drawdown,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,IWM,test_legacy,var_95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,IWM,test_legacy,var_95_violation_rate,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,IWM,test_legacy,capital_preservation_rate_95pct_hwm,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all_cash,QQQ,test_legacy,final_portfolio_value,2,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,QQQ,test_legacy,annualized_return,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,QQQ,test_legacy,annualized_volatility,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,QQQ,test_legacy,sharpe_ratio,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,QQQ,test_legacy,max_drawdown,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,QQQ,test_legacy,var_95,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,QQQ,test_legacy,var_95_violation_rate,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,QQQ,test_legacy,capital_preservation_rate_95pct_hwm,2,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all_cash,SPY,test_legacy,final_portfolio_value,8,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,SPY,test_legacy,annualized_return,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,SPY,test_legacy,annualized_volatility,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,SPY,test_legacy,sharpe_ratio,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,SPY,test_legacy,max_drawdown,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,SPY,test_legacy,var_95,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,SPY,test_legacy,var_95_violation_rate,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,SPY,test_legacy,capital_preservation_rate_95pct_hwm,8,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all_cash,XLE,test_legacy,final_portfolio_value,1,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,XLE,test_legacy,annualized_return,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLE,test_legacy,annualized_volatility,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLE,test_legacy,sharpe_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLE,test_legacy,max_drawdown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLE,test_legacy,var_95,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLE,test_legacy,var_95_violation_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLE,test_legacy,capital_preservation_rate_95pct_hwm,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all_cash,XLF,test_legacy,final_portfolio_value,1,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,XLF,test_legacy,annualized_return,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLF,test_legacy,annualized_volatility,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLF,test_legacy,sharpe_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLF,test_legacy,max_drawdown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLF,test_legacy,var_95,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLF,test_legacy,var_95_violation_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLF,test_legacy,capital_preservation_rate_95pct_hwm,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all_cash,XLK,test_legacy,final_portfolio_value,1,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,XLK,test_legacy,annualized_return,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLK,test_legacy,annualized_volatility,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLK,test_legacy,sharpe_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLK,test_legacy,max_drawdown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLK,test_legacy,var_95,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLK,test_legacy,var_95_violation_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLK,test_legacy,capital_preservation_rate_95pct_hwm,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all_cash,XLU,test_legacy,final_portfolio_value,1,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,XLU,test_legacy,annualized_return,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLU,test_legacy,annualized_volatility,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLU,test_legacy,sharpe_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLU,test_legacy,max_drawdown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLU,test_legacy,var_95,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLU,test_legacy,var_95_violation_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLU,test_legacy,capital_preservation_rate_95pct_hwm,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all_cash,XLV,test_legacy,final_portfolio_value,1,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0
all_cash,XLV,test_legacy,annualized_return,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLV,test_legacy,annualized_volatility,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLV,test_legacy,sharpe_ratio,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLV,test_legacy,max_drawdown,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLV,test_legacy,var_95,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLV,test_legacy,var_95_violation_rate,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all_cash,XLV,test_legacy,capital_preservation_rate_95pct_hwm,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0
buy_and_hold,IWM,test_legacy,final_portfolio_value,2,1159576.5,0.0,1159576.5,1159576.5,1159576.5,1159576.5,1159576.5
buy_and_hold,IWM,test_legacy,annualized_return,2,0.037975874675655476,1.1548317851192998e-08,0.037975874675655476,0.037975870592708544,0.03797587875860241,0.03797586650976161,0.03797588284154934
buy_and_hold,IWM,test_legacy,annualized_volatility,2,0.23126003903630526,7.497287925293839e-08,0.23126003903630526,0.2312600125293896,0.23126006554322093,0.23125998602247394,0.2312600920501366
buy_and_hold,IWM,test_legacy,sharpe_ratio,2,0.16117145409165212,4.141146277518017e-09,0.16117145409165212,0.1611714526275358,0.16117145555576842,0.1611714511634195,0.16117145701988472
buy_and_hold,IWM,test_legacy,max_drawdown,2,0.27503086864138115,7.514616941554783e-08,0.27503086864138115,0.27503084207319817,0.27503089520956414,0.2750308155050152,0.27503092177774713
buy_and_hold,IWM,test_legacy,var_95,2,-0.022858332540158344,5.653593949524405e-08,-0.022858332540158344,-0.022858352528631443,-0.022858312551685245,-0.02285837251710454,-0.022858292563212146
