date,portfolio_value,agent,ticker,fold_id,seed
2020-01-02,1000000.0,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-03,1005330.0264733152,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-06,1012652.8824537417,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-07,1020244.8947726345,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-08,1019132.1628089853,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-09,1013398.3438575257,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-10,1016163.2556684387,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-13,1019636.7137155656,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-14,1022809.9702849973,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-15,1023906.3578475758,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-16,1022297.8287718145,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-17,1021270.7795306502,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-21,1023790.2768165551,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-22,1025068.4874725108,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-23,1019588.7172687792,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-24,1003396.4727968543,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-27,983556.1389200335,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-28,977044.4668817103,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-29,957991.8508582141,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-30,948437.2052267455,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-01-31,964886.5490646622,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-03,954106.8896835041,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-04,968841.6181859511,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-05,951902.1534441314,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-06,941682.0881913053,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-07,892543.3418810465,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-10,906787.8917775769,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-11,876863.6852031443,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-12,828179.8327174583,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-13,854429.1711488633,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-14,798955.5515685431,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-18,815580.1941239141,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-19,786180.8450655991,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-20,799815.1165018796,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-21,791200.4801468519,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-24,785969.4395041678,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-25,817264.7237341272,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-26,821768.6304161185,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-27,844639.8267476222,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-02-28,830428.9133213238,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-02,839465.2799117237,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-03,837261.8137635709,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-04,805446.0549380551,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-05,809606.2882380639,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-06,797109.342021476,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-09,829921.3920710499,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-10,831109.3803550221,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-11,851017.6471029418,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-12,874279.9911531555,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-13,859914.8702591306,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-16,870737.5723723136,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-17,848202.2567972296,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-18,844255.3973510722,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-19,868300.5595777278,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-20,861364.3852534204,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-23,847972.3967359146,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-24,854625.1037731213,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-25,860274.339129724,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-26,870539.861201022,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-27,895324.445394037,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-30,905046.4936634268,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-03-31,939001.5238317528,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-01,910865.3956321103,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-02,882011.8288079011,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-03,885082.7339444167,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-06,890726.5202492729,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-07,885206.627244066,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-08,895449.5330056369,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-09,925137.7785430263,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-13,921097.8798084159,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-14,891895.6151615295,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-15,865507.5312941355,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-16,868008.5367008044,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-17,880401.1728879373,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-20,928479.1700430441,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-21,911904.8368491278,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-22,937025.1876943938,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-23,938560.916299053,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-24,942762.389356497,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-27,968091.8185603824,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-28,996329.1395638682,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-29,973984.69596526,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-04-30,968678.3199416797,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-01,977520.1693514836,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-04,985262.964308005,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-05,1008118.0685257353,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-06,1006707.9031781302,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-07,1044338.0128836578,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-08,1063951.2805878029,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-11,1044818.5152158751,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-12,1017160.4369546421,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-13,941392.9106571618,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-14,963455.7519671508,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-15,985258.925304134,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-18,1008460.1207132745,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-19,990597.1146658338,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-20,990253.0942255402,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
2020-05-21,985245.5610440612,ppo_with_uncertainty_guard,IWM,wf_2020_2021,53
