date,portfolio_value,agent,ticker,fold_id,seed
2024-01-02,1000000.0,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-03,1005506.1305901303,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-04,1013166.1852761896,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-05,1012574.5707106881,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-08,1011729.2354118715,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-09,1015590.3950064629,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-10,1016311.5514812339,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-11,1020391.3705298405,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-12,1018535.2489582442,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-16,1010654.1426244744,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-17,1016023.9661196684,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-18,1017585.7904213581,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-19,1012617.4784028116,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-22,1008743.0721954564,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-23,1006554.9504351432,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-24,1023145.075947297,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-25,1021473.640578466,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-26,1021171.4957276008,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-29,1022468.422727072,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-30,1019387.9765773583,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-01-31,1024421.1449992966,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-01,1033776.1831190586,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-02,1031388.8475964406,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-05,1019570.5452476066,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-06,1023505.2585201558,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-07,1033524.6085482484,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-08,1023909.4758352524,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-09,1021419.2104891019,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-12,1031280.0720250907,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-13,1025707.6214684949,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-14,1023903.689894065,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-15,1015647.9405055159,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-16,1022362.0592945934,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-20,1024168.0486968928,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-21,1032801.5915649125,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-22,1036188.4484876681,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-23,1037000.0367154586,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-26,1034329.5633441969,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-27,1031880.990210993,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-28,1034411.5136574528,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-02-29,1032976.0915458627,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-01,1034584.2421161537,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-04,1028142.1390541778,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-05,1029764.1587309849,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-06,1018789.4513271748,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-07,1026845.8743113254,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-08,1027023.309797384,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-11,1029553.1200767728,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-12,1023582.4100888234,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-13,1034289.898853132,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-14,1023388.9372629975,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-15,1012656.8878548879,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-18,1012696.044663815,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-19,1004317.3056049475,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-20,1000539.7689510804,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-21,987358.9603456019,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-22,993624.4283009723,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-25,1003014.9351490871,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-26,1005178.5056276384,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-27,1002139.4281222307,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-03-28,1011756.4037153319,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-01,1014256.668930202,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-02,1002534.5441200004,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-03,997983.3796765447,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-04,1006143.0459091305,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-05,1019551.3766023546,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-08,1026749.7053728295,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-09,1026850.1243578305,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-10,1026438.2448739721,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-11,1027929.4759056905,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-12,1029539.7466925968,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-15,1031122.2124517404,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-16,1035596.4672931453,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-17,1046615.1538665714,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-18,1045147.3804328843,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-19,1044788.1159856707,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-22,1049956.6051949856,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-23,1051445.5143497942,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-24,1051282.7938070646,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-25,1047771.82700614,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-26,1055166.6369119603,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-29,1058203.3779120564,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-04-30,1052331.3012068614,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-01,1043660.4231101334,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-02,1042122.4974222814,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-03,1046423.2116802607,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-06,1048642.559164244,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-07,1065365.5454834057,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-08,1065070.412420833,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-09,1064323.1639065142,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-10,1067653.3831562344,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-13,1073398.976760901,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-14,1084656.9013616014,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-15,1089454.313777124,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-16,1094143.432183418,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-17,1105133.045837863,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-20,1105410.3530175807,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-21,1098216.536468982,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
2024-05-22,1095685.7217718654,ppo_with_uncertainty_guard,QQQ,wf_2024_2025,19
